"Date","E","P","Temp","Q"
"5/6/2018 12:00",0.7922,8.13,-0.959,0.225
"5/7/2018 12:00",0.4752,2.54,-2.089,0.175
"5/8/2018 12:00",0.3757,7.112,-1.488,0.175
"5/9/2018 12:00",0.3275,0.508,-1.925,0.175
"5/10/2018 12:00",0.3882,6.35,-1.855,0.13
"5/11/2018 12:00",0.4128,0.254,-2.365,0.13
"5/12/2018 12:00",0.3447,0,-6.105,0.175
"5/13/2018 12:00",0.3095,0,-7.45,0.13
"5/14/2018 12:00",0.4038,0,-7.878,0.09
"5/15/2018 12:00",0.7717,0,-6.621,0.09
"5/16/2018 12:00",0.9439,3.048,-4.945,0.09
"5/17/2018 12:00",0.7343,5.588,-0.572,0.09
"5/18/2018 12:00",0.4612,0,0.87,0.09
"5/19/2018 12:00",0.5893,0,1.67,0.13
"5/20/2018 12:00",0.5422,0,1.771,0.13
"5/21/2018 12:00",0.7563,0,1.03,0.175
"5/22/2018 12:00",0.8202,0,1.295,0.225
"5/23/2018 12:00",0.8472,10.41,-1.401,0.345
"5/24/2018 12:00",0.7154,0,-0.725,0.28
"5/25/2018 12:00",0.4664,4.826,-1.615,0.225
"5/26/2018 12:00",0.4493,1.524,-2.744,0.225
"5/27/2018 12:00",0.4719,0,-1.56,0.175
"5/28/2018 12:00",0.4395,0.254,0.362,0.175
"5/29/2018 12:00",0.4516,9.4,-1.694,0.175
"5/30/2018 12:00",0.5585,1.27,-6.458,0.175
"5/31/2018 12:00",1.1203,0,-8.04,0.13
"6/1/2018 12:00",1.0924,0.762,-8.41,0.175
"6/2/2018 12:00",1.0207,0.508,-6.746,0.175
"6/3/2018 12:00",1.1933,8.89,-4.379,0.13
"6/4/2018 12:00",0.8406,0.508,-5.636,0.13
"6/5/2018 12:00",1.4421,2.286,-2.642,0.09
"6/6/2018 12:00",1.4901,11.68,-0.648,0.09
"6/7/2018 12:00",1.1328,2.032,0.278,0.175
"6/8/2018 12:00",0.8696,0.254,1.469,0.175
"6/9/2018 12:00",1.2759,0.254,2.594,0.225
"6/10/2018 12:00",1.5795,5.334,-0.451,0.345
"6/11/2018 12:00",1.8611,3.556,-4.813,0.28
"6/12/2018 12:00",1.3866,0.254,-5.817,0.28
"6/13/2018 12:00",0.965,0,-2.627,0.225
"6/14/2018 12:00",0.8448,0,-2.26,0.225
"6/15/2018 12:00",1.849,0.254,-4.919,0.175
"6/16/2018 12:00",2.4418,0,-10.72,0.175
"6/17/2018 12:00",1.8222,0.508,-7.048,0.225
"6/18/2018 12:00",1.8643,0.254,-0.926,0.175
"6/19/2018 12:00",1.8383,0,0.023,0.13
"6/20/2018 12:00",1.1592,0,-0.52,0.13
"6/21/2018 12:00",1.1539,0.254,1.196,0.175
"6/22/2018 12:00",1.0084,4.064,2.302,0.345
"6/23/2018 12:00",1.0807,23.11,2.849,0.861
"6/24/2018 12:00",1.008,1.016,1.286,1.03
"6/25/2018 12:00",1.008,0,3.872,0.776
"6/26/2018 12:00",1.0164,2.54,8.65,1.33
"6/27/2018 12:00",0.9958,12.7,-0.913,1.64
"6/28/2018 12:00",1.0218,0,-7.934,1.03
"6/29/2018 12:00",0.9576,1.27,-8.35,0.776
"6/30/2018 12:00",0.9062,13.97,-2.522,0.607
"7/1/2018 12:00",1.0156,0,1.628,0.542
"7/2/2018 12:00",1.4726,0,4.311,0.542
"7/3/2018 12:00",1.9159,3.81,3.483,1.13
"7/4/2018 12:00",2.2691,0.254,-7.007,1.53
"7/5/2018 12:00",2.3294,15.24,-4.76,1.03
"7/6/2018 12:00",1.8959,0,1.145,0.945
"7/7/2018 12:00",1.1221,13.97,2.569,1.64
"7/8/2018 12:00",1.5081,1.27,1.868,1.33
"7/9/2018 12:00",1.3236,1.778,0.232,1.03
"7/10/2018 12:00",1.42,1.524,0.492,0.861
"7/11/2018 12:00",1.8,0,4.615,0.776
"7/12/2018 12:00",1.85,0,8.17,1.13
"7/13/2018 12:00",1.95,4.572,8.26,1.64
"7/14/2018 12:00",2.05,6.858,3.986,1.75
"7/15/2018 12:00",2.12,0,5.814,1.97
"7/16/2018 12:00",2.23,15.49,4.16,2.19
"7/17/2018 12:00",2.45,0,3.344,2.54
"7/18/2018 12:00",2.46,0.254,8.38,2.54
"7/19/2018 12:00",2.35,0,11.11,2.65
"7/20/2018 12:00",2.55,0,4.232,1.97
"7/21/2018 12:00",2.56,0.254,0.305,1.75
"7/22/2018 12:00",2.61,6.604,-0.058,1.53
"7/23/2018 12:00",2.64,4.826,0.457,1.43
"7/24/2018 12:00",2.69,1.27,1.231,1.43
"7/25/2018 12:00",2.7,0,5.709,1.53
"7/26/2018 12:00",2.71,7.112,4.316,1.97
"7/27/2018 12:00",2.74,7.366,1.962,1.97
"7/28/2018 12:00",2.85,33.02,0.28,2.08
"7/29/2018 12:00",2.89,8.38,-1.888,2.19
"7/30/2018 12:00",2.91,0,-2.305,1.97
"7/31/2018 12:00",2.85,0,0.525,1.97
"8/1/2018 12:00",2.96,0,0.65,1.97
"8/2/2018 12:00",3.01,0,-0.242,1.86
"8/3/2018 12:00",3.05,0,0.479,1.86
"8/4/2018 12:00",3.12,0,2.833,1.86
"8/5/2018 12:00",3.15,0,5.155,1.75
"8/6/2018 12:00",3,0,6.821,1.75
"8/7/2018 12:00",3.2,0,7.846,1.86
"8/8/2018 12:00",3.24,0,10.08,1.86
"8/9/2018 12:00",3.19,0,12.26,1.97
"8/10/2018 12:00",3.29,0,12.78,1.97
"8/11/2018 12:00",3.3899,0,12.8,1.97
"8/12/2018 12:00",3.0826,0,13.1,1.86
"8/13/2018 12:00",3.1304,0,13.58,1.86
"8/14/2018 12:00",2.684,0,13.74,1.86
"8/15/2018 12:00",2.5413,0,14.39,1.75
"8/16/2018 12:00",2.8678,0,12.67,1.75
"8/17/2018 12:00",2.268,0,11.34,1.64
"8/18/2018 12:00",2.0304,0,10.56,1.64
"8/19/2018 12:00",2.519,0,12.33,1.53
"8/20/2018 12:00",2.5638,0,12.44,1.53
"8/21/2018 12:00",2.1379,0,10.84,1.53
"8/22/2018 12:00",2.457,0,8.12,1.64
"8/23/2018 12:00",3.3464,0,7.251,1.86
"8/24/2018 12:00",3.7493,0,6.901,1.97
"8/25/2018 12:00",2.5739,4.318,5.729,2.08
"8/26/2018 12:00",1.49,14.22,5.198,2.31
"8/27/2018 12:00",1.3794,3.81,7.615,2.19
"8/28/2018 12:00",2.3712,0,9.45,1.86
"8/29/2018 12:00",2.1236,0,11.39,1.64
"8/30/2018 12:00",1.6975,3.81,9.2,1.43
"8/31/2018 12:00",2.1537,0,9.87,1.23
"9/1/2018 12:00",1.8167,0,11.55,0.945
"9/2/2018 12:00",1.8457,0,13.24,0.776
"9/3/2018 12:00",1.8805,0,14.41,0.607
"9/4/2018 12:00",2.6183,0,13.44,0.542
"9/5/2018 12:00",2.9969,0,10.25,0.476
"9/6/2018 12:00",2.3339,0,11.1,0.476
"9/7/2018 12:00",2.1742,0,10.29,0.476
"9/8/2018 12:00",2.2013,0,8.96,0.411
"9/9/2018 12:00",2.6139,0,11.17,0.411
"9/10/2018 12:00",2.3275,1.016,13.25,0.476
"9/11/2018 12:00",2.45,0.254,14.27,0.476
"9/12/2018 12:00",2.49,4.064,9.61,0.542
"9/13/2018 12:00",2.51,8.64,9.78,0.476
"9/14/2018 12:00",1.88,6.604,5.592,0.411
"9/15/2018 12:00",2.65,1.778,8.41,0.476
"9/16/2018 12:00",2.7,4.064,8.83,0.411
"9/17/2018 12:00",2.75,8.13,7.092,0.411
"9/18/2018 12:00",2.76,8.13,6.936,0.542
"9/19/2018 12:00",2.78,9.14,7.805,0.692
"9/20/2018 12:00",2.8,0.254,8.23,0.607
"9/21/2018 12:00",2.82,0,9,0.542
"9/22/2018 12:00",2.84,0,12.35,0.542
"9/23/2018 12:00",2.86,5.334,12.25,0.542
"9/24/2018 12:00",3,3.556,11.12,0.476
"9/25/2018 12:00",3.01,0.508,10.63,0.476
"9/26/2018 12:00",3.05,5.334,9.97,0.476
"9/27/2018 12:00",3.06,1.016,10.02,0.945
"9/28/2018 12:00",3.1,5.588,9.14,0.945
"9/29/2018 12:00",3.12,4.318,10.41,0.776
"9/30/2018 12:00",3.15,0,11.18,0.607
"10/1/2018 12:00",3.18,0,9.63,0.411
"10/2/2018 12:00",3.2,0,9.96,0.345
"10/3/2018 12:00",3.3,0,12.72,0.345
"10/4/2018 12:00",3.5,0,15.67,0.28
"10/5/2018 12:00",3.4,0,16.07,0.28
"10/6/2018 12:00",3.6,0,15.59,0.28
"10/7/2018 12:00",3.7,0,16.24,0.225
"10/8/2018 12:00",3.4,0,16.93,0.225
"10/9/2018 12:00",3.5,0,17.67,0.175
"10/10/2018 12:00",3.6,0,17.26,0.175
"10/11/2018 12:00",3.6,0,17.29,0.175
"10/12/2018 12:00",3.4,0,11.13,0.175
"10/13/2018 12:00",3.5,0,7.293,0.175
"10/14/2018 12:00",3.8,0,9.1,0.175
"10/15/2018 12:00",3.7,0,12.28,0.175
"10/16/2018 12:00",3.89,0,13.4,0.175
"10/17/2018 12:00",3.84,0,13.79,0.175
"10/18/2018 12:00",3.91,0,14.35,0.13
"10/19/2018 12:00",3.94,0,15.95,0.09
"10/20/2018 12:00",3.95,0,14.95,0.09
"10/21/2018 12:00",3.95,0,15.24,0.09
"10/22/2018 12:00",4,0,14.96,0.09
"10/23/2018 12:00",4,0,15.36,0.09
"10/24/2018 12:00",4,0,14.99,0.09
"10/25/2018 12:00",4,0,14.22,0.09
"10/26/2018 12:00",4,0,13.62,0.13
"10/27/2018 12:00",4,4.318,12.37,0.28
"10/28/2018 12:00",4,0.254,10.56,0.225
"10/29/2018 12:00",4,0,10.03,0.175
"10/30/2018 12:00",4,0.254,11.32,0.13
"10/31/2018 12:00",4,0,13.23,0.09
"11/1/2018 12:00",4.01,0,12.3,0.065
"11/2/2018 12:00",4.02,0,10.41,0.065
"11/3/2018 12:00",4.03,0,10.96,0.065
"11/4/2018 12:00",4.04,0,13.02,0.05
"11/5/2018 12:00",4.01,0,12.63,0.05
"11/6/2018 12:00",4.05,0,11.01,0.05
"11/7/2018 12:00",4.06,0,10.03,0.05
"11/8/2018 12:00",4.05,0,10.17,0.05
"11/9/2018 12:00",4.05,0,12.03,0.05
"11/10/2018 12:00",4.06,0,13.5,0.05
"11/11/2018 12:00",3.9,0,13.63,0.04
"11/12/2018 12:00",3.98,12.19,12.03,0.05
"11/13/2018 12:00",3.97,0.254,12.5,0.05
"11/14/2018 12:00",3.95,0,11.36,0.04
"11/15/2018 12:00",3.96,0,9.92,0.04
"11/16/2018 12:00",4,0,11.01,0.04
"11/17/2018 12:00",4,0,11.86,0.04
"11/18/2018 12:00",4,0,11.72,0.04
"11/19/2018 12:00",4,0,12.42,0.04
"11/20/2018 12:00",4,0,13.62,0.04
"11/21/2018 12:00",4,0,14.63,0.04
"11/22/2018 12:00",4,0,16.15,0.04
"11/23/2018 12:00",4,0,14.76,0.04
"11/24/2018 12:00",4,0,14.09,0.04
